	SignatureCluster	VersoCluster	UMAPgroup	nClonal	nMinor
SRR11577875	SC#4	C10	10	16	1
SRR11577876	SC#4	C11	1	10	1
SRR11577877	SC#4	C09	5	9	8
SRR11577879	SC#4	C11	3	11	2
SRR11577880	SC#4	C11	4	7	5
SRR11577881	SC#4	C11	1	12	3
SRR11577882	SC#4	C11	5	9	4
SRR11577883	SC#4	C10	8	12	2
SRR11577884	SC#4	C13	10	11	3
SRR11577886	SC#4	C10	10	15	1
SRR11577887	SC#3	C08	0	8	49
SRR11577888	SC#3	C08	0	9	96
SRR11577890	SC#3	C09	11	8	43
SRR11577891	SC#4	C02	0	8	6
SRR11577892	SC#4	C13	0	9	5
SRR11577894	SC#3	C10	2	11	18
SRR11577895	SC#2	C13	1	11	129
SRR11577897	SC#4	C10	1	11	5
SRR11577898	NA	C12	3	13	0
SRR11577899	SC#4	C10	11	17	1
SRR11577902	SC#3	C02	1	8	232
SRR11577903	SC#3	C13	8	7	28
SRR11577904	SC#3	C06	4	11	24
SRR11577905	SC#4	C01	1	11	3
SRR11577907	SC#4	C03	3	4	2
SRR11577908	SC#3	C13	2	8	7
SRR11577909	NA	C09	0	7	0
SRR11577910	SC#4	C13	5	12	2
SRR11577912	SC#3	C10	2	9	35
SRR11577914	NA	C08	2	12	0
SRR11577915	SC#4	C12	5	13	1
SRR11577916	SC#4	C10	5	12	1
SRR11577918	SC#4	C03	5	4	3
SRR11577920	SC#2	C09	3	8	337
SRR11577921	SC#4	C10	0	10	3
SRR11577922	SC#3	C09	4	7	12
SRR11577924	SC#4	C09	8	9	2
SRR11577925	NA	C13	0	9	0
SRR11577926	NA	C10	0	10	0
SRR11577927	SC#4	C09	5	8	2
SRR11577928	SC#4	C09	6	9	1
SRR11577929	SC#4	C10	11	18	1
SRR11577931	SC#2	C08	0	8	167
SRR11577932	NA	C08	1	9	0
SRR11577934	SC#1	C03	1	3	590
SRR11577935	SC#1	C02	2	8	626
SRR11577937	SC#4	C03	0	5	5
SRR11577938	NA	C13	14	12	0
SRR11577939	SC#4	C06	9	8	6
SRR11577940	NA	C10	9	11	0
SRR11577941	NA	C10	11	12	0
SRR11577942	SC#4	C06	9	8	10
SRR11577943	SC#4	C13	14	12	2
SRR11577944	SC#3	C12	4	8	111
SRR11577945	SC#3	C03	0	2	30
SRR11577947	SC#4	C10	3	12	1
SRR11577950	SC#4	C12	0	11	2
SRR11577951	SC#4	C03	4	8	2
SRR11577952	SC#4	C01	0	10	1
SRR11577953	NA	C11	1	9	0
SRR11577955	NA	C02	5	8	0
SRR11577956	NA	C11	0	10	0
SRR11577957	SC#2	C09	3	6	316
SRR11577958	SC#2	C13	6	11	129
SRR11577959	SC#2	C09	5	8	216
SRR11577960	NA	C10	0	10	0
SRR11577961	SC#4	C09	9	7	1
SRR11577962	SC#2	C08	0	10	59
SRR11577963	NA	C01	3	11	0
SRR11577964	SC#2	C08	0	8	66
SRR11577965	NA	C02	0	8	0
SRR11577967	SC#4	C13	13	10	1
SRR11577968	NA	C13	5	10	0
SRR11577969	SC#2	C09	10	9	7
SRR11577972	NA	C13	12	11	0
SRR11577974	NA	C05	2	9	0
SRR11577975	SC#4	C09	4	6	4
SRR11577976	NA	C12	2	9	0
SRR11577977	SC#3	C03	0	17	130
SRR11577978	SC#4	C06	0	7	1
SRR11577979	SC#4	C10	0	10	4
SRR11577980	NA	C13	6	11	0
SRR11577981	NA	C06	7	11	0
SRR11577982	SC#3	C13	2	10	14
SRR11577984	SC#4	C09	2	9	1
SRR11577985	SC#4	C13	2	11	1
SRR11577986	SC#4	C09	14	10	2
